tab	table	pipeline_step	name	column	pretty_name	order
Genesets and pathways	Pathway characteristics	tables-and-figures	pathway_characteristics	Global.Test.p.value.adjusted.FDR	Global test p-value (FDR)	4
Genesets and pathways	Pathway characteristics	tables-and-figures	pathway_characteristics	pathway_size	Pathway size	5
Genesets and pathways	Pathway characteristics	tables-and-figures	pathway_characteristics	pathway_size_in_data	Genes with patient expression	6
Genesets and pathways	Pathway characteristics	tables-and-figures	pathway_characteristics	targetscan_predicted_conserved	TargetScan conserved	7
Genesets and pathways	Pathway characteristics	tables-and-figures	pathway_characteristics	parclip	PAR-CLIP	8
Genesets and pathways	Pathway characteristics	tables-and-figures	pathway_characteristics	model_prediction	Model prediction	9
Genesets and pathways	Pathway characteristics	tables-and-figures	pathway_characteristics	model_prediction_parclip_union	Model prediction and PAR-CLIP	10
Genesets and pathways	Pathway characteristics	tables-and-figures	pathway_characteristics	targetscan_predicted_conserved.1	TargetScan conserved	11
Genesets and pathways	Pathway characteristics	tables-and-figures	pathway_characteristics	parclip.1	PAR-CLIP	12
Genesets and pathways	Pathway characteristics	tables-and-figures	pathway_characteristics	model_prediction.1	Model prediction	13
Genesets and pathways	Pathway characteristics	tables-and-figures	pathway_characteristics	model_prediction_parclip_union.1	Model prediction and PAR-CLIP	14
Survival and other characteristics	Associations	phenotype-associations	phenotype_globaltests	phenotype	Phenotype	1
Survival and other characteristics	Associations	phenotype-associations	phenotype_globaltests	subset	Gene subset	2
Survival and other characteristics	Associations	phenotype-associations	phenotype_globaltests	gt.p.value	Global Test p-value	6
Survival and other characteristics	Associations	phenotype-associations	phenotype_globaltests	gt.statistic	Global Test statistic	7
Survival and other characteristics	Associations	phenotype-associations	phenotype_globaltests	gt.expected	Global Test expected	8
Survival and other characteristics	Associations	phenotype-associations	phenotype_globaltests	gt.stdv	Global Test stdev	9
Survival and other characteristics	Associations	phenotype-associations	phenotype_globaltests	gt.n	Number of genes in subset	3
Survival and other characteristics	Associations	phenotype-associations	phenotype_globaltests	p.value.adjusted	Global Test adjusted p-value	4
Survival and other characteristics	Associations	phenotype-associations	phenotype_globaltests	adjusted.pvalue.per.id	Global Test adjusted p-value per gene subset	5
Survival and other characteristics	MicroRNA Ranking	phenotype-associations	mirna_ranking		miRNA family	1
Survival and other characteristics	MicroRNA Ranking	phenotype-associations	mirna_ranking	disease_free_survival	Disease free survival	2
Survival and other characteristics	MicroRNA Ranking	phenotype-associations	mirna_ranking	overall_survival	Overall survival	2
Survival and other characteristics	MicroRNA Ranking	phenotype-associations	mirna_ranking	metastasis	Metastasis	3
Survival and other characteristics	MicroRNA Ranking	phenotype-associations	mirna_ranking	histological_grade	Histological grade	4
Survival and other characteristics	MicroRNA Ranking	phenotype-associations	mirna_ranking	n_positive_lymph_nodes	Number of positive lymph nodes	5
Survival and other characteristics	MicroRNA Ranking	phenotype-associations	mirna_ranking	tumor_size	Tumor size	6
Survival and other characteristics	MicroRNA Ranking	phenotype-associations	mirna_ranking	rank.ratio.disease_free_survival	Rank ratio disease free survival	9
Survival and other characteristics	MicroRNA Ranking	phenotype-associations	mirna_ranking	rank.ratio.overall_survival	Rank ratio overall survival	9
Survival and other characteristics	MicroRNA Ranking	phenotype-associations	mirna_ranking	rank.ratio.metastasis	Rank ratio metastasis	10
Survival and other characteristics	MicroRNA Ranking	phenotype-associations	mirna_ranking	rank.ratio.histological_grade	Rank ratio histological grade	11
Survival and other characteristics	MicroRNA Ranking	phenotype-associations	mirna_ranking	rank.ratio.n_positive_lymph_nodes	Rank ratio number of positive lymph nodes	12
Survival and other characteristics	MicroRNA Ranking	phenotype-associations	mirna_ranking	rank.ratio.tumor_size	Rank ratio tumor size	13
Survival and other characteristics	MicroRNA Ranking	phenotype-associations	mirna_ranking	rank.test.q.value	Rank test q value	14
Survival and other characteristics	MicroRNA Ranking	phenotype-associations	mirna_ranking	rank.test.p.value	Rank Test p-value	7
Survival and other characteristics	MicroRNA Ranking	phenotype-associations	mirna_ranking	rank.test.p.value.fdr	Rank Test p-value (FDR)	8
Overall MicroRNA ranking	MicroRNA features	mirna-ranking	mirna_features		miRNA family	1
Overall MicroRNA ranking	MicroRNA features	mirna-ranking	mirna_features	Wilcoxon.Test.p.value	Wilcoxon Test p-value	2
Overall MicroRNA ranking	MicroRNA features	mirna-ranking	mirna_features	Global.Test.miR.prediction.p.value	Global Test target effect	3
Overall MicroRNA ranking	MicroRNA features	mirna-ranking	mirna_features	Global.Test.CGC.p.value	Global Test cancer association	4
Overall MicroRNA ranking	MicroRNA features	mirna-ranking	mirna_features	Global.Test.70genes.p.value	Global Test 70 gene prognosis	5
Overall MicroRNA ranking	MicroRNA features	mirna-ranking	mirna_features	Global.Test.minimum.p.value.of.targetted.pathways	Global Test pathway activity	6
Overall MicroRNA ranking	MicroRNA features	mirna-ranking	mirna_features	Expression.mean	miRNA expression mean 	12
Overall MicroRNA ranking	MicroRNA features	mirna-ranking	mirna_features	Expression.variance	miRNA expression var	13
Overall MicroRNA ranking	MicroRNA features	mirna-ranking	mirna_features	Expression.min	miRNA expression min	14
Overall MicroRNA ranking	MicroRNA features	mirna-ranking	mirna_features	Expression.max	miRNA expression max	15
Overall MicroRNA ranking	MicroRNA features	mirna-ranking	mirna_features	disease_free_survival	Global Test survival (disease free)	7
Overall MicroRNA ranking	MicroRNA features	mirna-ranking	mirna_features	overall_survival	Global Test survival (overall)	7
Overall MicroRNA ranking	MicroRNA features	mirna-ranking	mirna_features	metastasis	Global Test metastasis	8
Overall MicroRNA ranking	MicroRNA features	mirna-ranking	mirna_features	histological_grade	Global Test histological grade	9
Overall MicroRNA ranking	MicroRNA features	mirna-ranking	mirna_features	n_positive_lymph_nodes	Global Test number of positive lymph nodes	10
Overall MicroRNA ranking	MicroRNA features	mirna-ranking	mirna_features	tumor_size	Global Test tumor size	11
Overall MicroRNA ranking	MicroRNA Ranking	mirna-ranking	rank_table		miRNA family	1
Overall MicroRNA ranking	MicroRNA Ranking	mirna-ranking	rank_table	target_activity	Global Test target effect	2
Overall MicroRNA ranking	MicroRNA Ranking	mirna-ranking	rank_table	pathway_activity	Global Test pathway activity	3
Overall MicroRNA ranking	MicroRNA Ranking	mirna-ranking	rank_table	cancer_activity	Global Test cancer association	4
Overall MicroRNA ranking	MicroRNA Ranking	mirna-ranking	rank_table	prognostic_activity	Global Test survival	5
Overall MicroRNA ranking	MicroRNA Ranking	mirna-ranking	rank_table	rank.ratio.target_activity	Rank ratio Global Test target effect	12
Overall MicroRNA ranking	MicroRNA Ranking	mirna-ranking	rank_table	rank.ratio.pathway_activity	Rank ratio Global Test pathway activity	13
Overall MicroRNA ranking	MicroRNA Ranking	mirna-ranking	rank_table	rank.ratio.cancer_activity	Rank ratio Global Test cancer association	14
Overall MicroRNA ranking	MicroRNA Ranking	mirna-ranking	rank_table	rank.ratio.prognostic_activity	Rank ratio Global Test survival	15
Overall MicroRNA ranking	MicroRNA Ranking	mirna-ranking	rank_table	rank.test.q.value	Rank test q-value	16
Overall MicroRNA ranking	MicroRNA Ranking	mirna-ranking	rank_table	rank.test.p.value	Rank test p-value	6
Overall MicroRNA ranking	MicroRNA Ranking	mirna-ranking	rank_table	rank.test.p.value.fdr	Rank Test p-value (FDR)	7
Overall MicroRNA ranking	MicroRNA Ranking	mirna-ranking	rank_table	Expression.mean	miRNA expression mean 	8
Overall MicroRNA ranking	MicroRNA Ranking	mirna-ranking	rank_table	Expression.variance	miRNA expression var	9
Overall MicroRNA ranking	MicroRNA Ranking	mirna-ranking	rank_table	Expression.min	miRNA expression min	10
Overall MicroRNA ranking	MicroRNA Ranking	mirna-ranking	rank_table	Expression.max	miRNA expression max	11
Targets	MP-PCLIP	tables-and-figures	mppclip_targets	mirna	miRNA family	1
Targets	MP-PCLIP	tables-and-figures	mppclip_targets	gene	mRNA target (Gene Symbol)	2
Targets	MP-PCLIP	tables-and-figures	mppclip_targets	Parclipped	PAR-CLIP (seed matched)	3
Targets	MP-PCLIP	tables-and-figures	mppclip_targets	Model.predicted	Model prediction	4
Targets	MP-PCLIP	tables-and-figures	mppclip_targets	mirna.mean	miRNA expression mean	7
Targets	MP-PCLIP	tables-and-figures	mppclip_targets	mirna.var	miRNA variability	8
Targets	MP-PCLIP	tables-and-figures	mppclip_targets	mrna.mean	mRNA mean expression	9
Targets	MP-PCLIP	tables-and-figures	mppclip_targets	mrna.var	mRNA variability	10
Targets	MP-PCLIP	tables-and-figures	mppclip_targets	MCF7_mRNA_RPKM	MCF7 expression (RPKM)	5
Targets	MP-PCLIP	tables-and-figures	mppclip_targets	Correlation	miRNA-mRNA correlation	6
Targets	MP-PCLIP	tables-and-figures	mppclip_targets	Interaction	miRNA-mRNA interaction term	11
Targets	MP-PCLIP	tables-and-figures	mppclip_targets	Interaction2	miRNA-mRNA interaction term (absolute mRNA abundance)	12
Targets	TS interaction features	tables-and-figures	ts_interaction_features	mirna	miRNA family	1
Targets	TS interaction features	tables-and-figures	ts_interaction_features	gene	mRNA target (Gene Symbol)	2
Targets	TS interaction features	tables-and-figures	ts_interaction_features	Total.num.conserved.sites	Total number of conserved sites	15
Targets	TS interaction features	tables-and-figures	ts_interaction_features	Number.of.conserved.8mer.sites	Number of conserved 8mer sites	16
Targets	TS interaction features	tables-and-figures	ts_interaction_features	Number.of.conserved.7mer.m8.sites	Number of conserved 7mer m8 sites	17
Targets	TS interaction features	tables-and-figures	ts_interaction_features	Number.of.conserved.7mer.1a.sites	Number of conserved 7mer 1A sites	18
Targets	TS interaction features	tables-and-figures	ts_interaction_features	Total.num.nonconserved.sites	Total number of nonconserved sites	19
Targets	TS interaction features	tables-and-figures	ts_interaction_features	Number.of.nonconserved.8mer.sites	Number of nonconserved 8mer sites	20
Targets	TS interaction features	tables-and-figures	ts_interaction_features	Number.of.nonconserved.7mer.m8.sites	Number of nonconserved 7mer m8 sites	21
Targets	TS interaction features	tables-and-figures	ts_interaction_features	Number.of.nonconserved.7mer.1a.sites	Number of nonconserved 7mer 1A sites	22
Targets	TS interaction features	tables-and-figures	ts_interaction_features	Total.context.score	Total context score	23
Targets	TS interaction features	tables-and-figures	ts_interaction_features	Aggregate.PCT	Aggregate PCT	24
Targets	TS interaction features	tables-and-figures	ts_interaction_features	mirna.mean	miRNA expression mean 	9
Targets	TS interaction features	tables-and-figures	ts_interaction_features	mirna.var	miRNA variability	10
Targets	TS interaction features	tables-and-figures	ts_interaction_features	mrna.mean	mRNA mean expression	11
Targets	TS interaction features	tables-and-figures	ts_interaction_features	mrna.var	mRNA variability	12
Targets	TS interaction features	tables-and-figures	ts_interaction_features	Interaction	miRNA-mRNA interaction term	13
Targets	TS interaction features	tables-and-figures	ts_interaction_features	Interaction2	miRNA-mRNA interaction term (absolute mRNA abundance)	14
Targets	TS interaction features	tables-and-figures	ts_interaction_features	Parclipped	PAR-CLIP (seed matched)	3
Targets	TS interaction features	tables-and-figures	ts_interaction_features	Parclipped.by.any.miRNA	PAR-CLIP (isolated)	4
Targets	TS interaction features	tables-and-figures	ts_interaction_features	response	Model response	5
Targets	TS interaction features	tables-and-figures	ts_interaction_features	prediction	Model prediction	6
Targets	TS interaction features	tables-and-figures	ts_interaction_features	Correlation	miRNA-mRNA correlation	8
Targets	TS interaction features	tables-and-figures	ts_interaction_features	MCF7_mRNA_RPKM	MCF7 expression (RPKM)	7
