"","miRNA","GeneID","CCR","mRNA.clone.number","cluster.name","X3.UTR","CDS","X5.UTR","EXONIC","INTRONIC","G.1.Fraction","G.1.Freq","T2C.Fraction","T2C.Freq","T2C.and.G.1.Fraction","T2C.and.G.1.Freq","X.T2C.positions"
"65","hsa-miR-27b","FUT8","slc1041_chr14",7,"slc1041_chr14",0,1,0,0.13,0.87,1,7,1,7,1,7,1
"66","hsa-miR-423-3p","VEGFA","slc1044_chr6",177,"slc1044_chr6",1,0,0,1,0,0.814,144,0.91,161,0.751,133,9
"67","hsa-miR-16","VEGFA","slc1044_chr6",177,"slc1044_chr6",1,0,0,1,0,0.814,144,0.91,161,0.751,133,9
"68","hsa-miR-424","VEGFA","slc1044_chr6",177,"slc1044_chr6",1,0,0,1,0,0.814,144,0.91,161,0.751,133,9
"69","hsa-miR-33a","XIAP","slc1045_chrX",14,"slc1045_chrX",1,0,0,1,0,0.929,13,1,14,0.929,13,1
"70","hsa-miR-141","CDC25B","slc104_chr20",30,"slc104_chr20",1,0,0,1,0,0.967,29,0.967,29,0.933,28,3
"71","hsa-miR-200a","CDC25B","slc104_chr20",30,"slc104_chr20",1,0,0,1,0,0.967,29,0.967,29,0.933,28,3
"72","hsa-miR-141","STAG2","slc1051_chrX",11,"slc1051_chrX",0,1,0,0.93,0.07,1,11,1,11,1,11,2
"73","hsa-miR-200a","STAG2","slc1051_chrX",11,"slc1051_chrX",0,1,0,0.93,0.07,1,11,1,11,1,11,2
"74","hsa-miR-148a","NCOA3","slc1053_chr20",5,"slc1053_chr20",0,1,0,1,0,1,5,0.8,4,0.8,4,4
"75","hsa-miR-16","KIAA0754","slc1057_chr1",5,"slc1057_chr1",0,0,1,0.17,0.83,0.8,4,0.8,4,0.6,3,2
"76","hsa-miR-424","KIAA0754","slc1057_chr1",5,"slc1057_chr1",0,0,1,0.17,0.83,0.8,4,0.8,4,0.6,3,2
"77","hsa-miR-183","RCN2","slc1057_chr15",14,"slc1057_chr15",1,0,0,1,0,1,14,1,14,1,14,1
"78","hsa-miR-183","PKD2","slc1060_chr4",5,"slc1060_chr4",1,0,0,1,0,0,0,1,5,0,0,1
"79","hsa-miR-186","ZNF714","slc1061_chr19",6,"slc1061_chr19",1,0,0,0.33,0.67,0.833,5,0.667,4,0.5,3,2
"80","hsa-miR-21","STAG2","slc1063_chrX",5,"slc1063_chrX",1,0,0,1,0,1,5,0.4,2,0.4,2,1
"81","hsa-miR-23a","NCOA3","slc1065_chr20",8,"slc1065_chr20",0,1,0,1,0,0.875,7,0.625,5,0.5,4,5
"82","hsa-miR-23b","NCOA3","slc1065_chr20",8,"slc1065_chr20",0,1,0,1,0,0.875,7,0.625,5,0.5,4,5
"83","hsa-miR-19a","HNRNPA1","slc1068_chr12",20,"slc1068_chr12",1,0,0,0.98,0.02,1,20,1,20,1,20,2
"84","hsa-miR-19b","HNRNPA1","slc1068_chr12",20,"slc1068_chr12",1,0,0,0.98,0.02,1,20,1,20,1,20,2
"85","hsa-miR-33a","SEC24C","slc1070_chr10",5,"slc1070_chr10",1,0,0,1,0,1,5,0.8,4,0.8,4,1
"86","hsa-miR-24","HNRNPA1","slc1071_chr12",11,"slc1071_chr12",1,0,0,1,0,1,11,1,11,1,11,1
"87","hsa-miR-106b","PHTF2","slc1072_chr7",8,"slc1072_chr7",1,0,0,1,0,1,8,1,8,1,8,1
"88","hsa-miR-17","PHTF2","slc1072_chr7",8,"slc1072_chr7",1,0,0,1,0,1,8,1,8,1,8,1
"89","hsa-miR-93","PHTF2","slc1072_chr7",8,"slc1072_chr7",1,0,0,1,0,1,8,1,8,1,8,1
"91","hsa-miR-106b","NCOA3","slc1079_chr20",8,"slc1079_chr20",1,0,0,1,0,0.875,7,1,8,0.875,7,4
"92","hsa-miR-17","NCOA3","slc1079_chr20",8,"slc1079_chr20",1,0,0,1,0,0.875,7,1,8,0.875,7,4
"93","hsa-miR-93","NCOA3","slc1079_chr20",8,"slc1079_chr20",1,0,0,1,0,0.875,7,1,8,0.875,7,4
"94","hsa-miR-375","RLF","slc1084_chr1",6,"slc1084_chr1",1,0,0,1,0,0.833,5,1,6,0.833,5,1
"95","hsa-miR-182","RLF","slc1084_chr1",6,"slc1084_chr1",1,0,0,1,0,0.833,5,1,6,0.833,5,1
"96","hsa-miR-26a","ZNF462","slc1085_chr9",17,"slc1085_chr9",1,0,0,0.88,0.12,0.882,15,0.706,12,0.647,11,1
"97","hsa-miR-26b","ZNF462","slc1085_chr9",17,"slc1085_chr9",1,0,0,0.88,0.12,0.882,15,0.706,12,0.647,11,1
"100","hsa-miR-106b","MIDN","slc108_chr19",20,"slc108_chr19",1,0,0,1,0,0.9,18,0.85,17,0.75,15,3
"101","hsa-miR-17","MIDN","slc108_chr19",20,"slc108_chr19",1,0,0,1,0,0.9,18,0.85,17,0.75,15,3
"102","hsa-miR-93","MIDN","slc108_chr19",20,"slc108_chr19",1,0,0,1,0,0.9,18,0.85,17,0.75,15,3
"104","hsa-miR-106b","LASP1","slc1094_chr17",5,"slc1094_chr17",1,0,0,1,0,1,5,1,5,1,5,2
"105","hsa-miR-17","LASP1","slc1094_chr17",5,"slc1094_chr17",1,0,0,1,0,1,5,1,5,1,5,2
"106","hsa-miR-93","LASP1","slc1094_chr17",5,"slc1094_chr17",1,0,0,1,0,1,5,1,5,1,5,2
"107","hsa-miR-30a","ENPP4","slc1098_chr6",5,"slc1098_chr6",1,0,0,1,0,0.8,4,0.6,3,0.6,3,3
"108","hsa-miR-30b","ENPP4","slc1098_chr6",5,"slc1098_chr6",1,0,0,1,0,0.8,4,0.6,3,0.6,3,3
"109","hsa-miR-30c","ENPP4","slc1098_chr6",5,"slc1098_chr6",1,0,0,1,0,0.8,4,0.6,3,0.6,3,3
"110","hsa-miR-30d","ENPP4","slc1098_chr6",5,"slc1098_chr6",1,0,0,1,0,0.8,4,0.6,3,0.6,3,3
"111","hsa-miR-30e","ENPP4","slc1098_chr6",5,"slc1098_chr6",1,0,0,1,0,0.8,4,0.6,3,0.6,3,3
"112","hsa-miR-301a","ENPP4","slc1098_chr6",5,"slc1098_chr6",1,0,0,1,0,0.8,4,0.6,3,0.6,3,3
"113","hsa-miR-19a","ENPP4","slc1098_chr6",5,"slc1098_chr6",1,0,0,1,0,0.8,4,0.6,3,0.6,3,3
"114","hsa-miR-19b","ENPP4","slc1098_chr6",5,"slc1098_chr6",1,0,0,1,0,0.8,4,0.6,3,0.6,3,3
"115","hsa-miR-103","ENPP4","slc1099_chr6",7,"slc1099_chr6",1,0,0,1,0,0.429,3,0.429,3,0,0,1
"116","hsa-miR-107","ENPP4","slc1099_chr6",7,"slc1099_chr6",1,0,0,1,0,0.429,3,0.429,3,0,0,1
"117","hsa-miR-16","ENPP4","slc1099_chr6",7,"slc1099_chr6",1,0,0,1,0,0.429,3,0.429,3,0,0,1
"118","hsa-miR-424","ENPP4","slc1099_chr6",7,"slc1099_chr6",1,0,0,1,0,0.429,3,0.429,3,0,0,1
"119","hsa-miR-21","ZCCHC3","slc10_chr20",16,"slc10_chr20",1,0,0,1,0,0.938,15,0.938,15,0.875,14,8
"120","hsa-miR-16","PLEKHH1","slc1101_chr14",8,"slc1101_chr14",0,1,0,1,0,1,8,0.875,7,0.875,7,5
"121","hsa-miR-424","PLEKHH1","slc1101_chr14",8,"slc1101_chr14",0,1,0,1,0,1,8,0.875,7,0.875,7,5
"122","hsa-miR-186","NCOA3","slc1102_chr20",29,"slc1102_chr20",1,0,0,1,0,0.862,25,0.828,24,0.69,20,2
"123","hsa-let-7a","NCOA3","slc1102_chr20",29,"slc1102_chr20",1,0,0,1,0,0.862,25,0.828,24,0.69,20,2
"124","hsa-let-7b","NCOA3","slc1102_chr20",29,"slc1102_chr20",1,0,0,1,0,0.862,25,0.828,24,0.69,20,2
"125","hsa-let-7c","NCOA3","slc1102_chr20",29,"slc1102_chr20",1,0,0,1,0,0.862,25,0.828,24,0.69,20,2
"126","hsa-let-7d","NCOA3","slc1102_chr20",29,"slc1102_chr20",1,0,0,1,0,0.862,25,0.828,24,0.69,20,2
"127","hsa-let-7e","NCOA3","slc1102_chr20",29,"slc1102_chr20",1,0,0,1,0,0.862,25,0.828,24,0.69,20,2
"128","hsa-let-7f","NCOA3","slc1102_chr20",29,"slc1102_chr20",1,0,0,1,0,0.862,25,0.828,24,0.69,20,2
"129","hsa-let-7g","NCOA3","slc1102_chr20",29,"slc1102_chr20",1,0,0,1,0,0.862,25,0.828,24,0.69,20,2
"130","hsa-let-7i","NCOA3","slc1102_chr20",29,"slc1102_chr20",1,0,0,1,0,0.862,25,0.828,24,0.69,20,2
"131","hsa-miR-98","NCOA3","slc1102_chr20",29,"slc1102_chr20",1,0,0,1,0,0.862,25,0.828,24,0.69,20,2
"132","hsa-miR-22","RAB5B","slc1105_chr12",55,"slc1105_chr12",1,0,0,1,0,0.945,52,0.891,49,0.873,48,2
"133","hsa-let-7a","SRCAP","slc1105_chr16",9,"slc1105_chr16",0,1,0,1,0,1,9,0.778,7,0.778,7,1
"134","hsa-let-7b","SRCAP","slc1105_chr16",9,"slc1105_chr16",0,1,0,1,0,1,9,0.778,7,0.778,7,1
"135","hsa-let-7c","SRCAP","slc1105_chr16",9,"slc1105_chr16",0,1,0,1,0,1,9,0.778,7,0.778,7,1
"136","hsa-let-7d","SRCAP","slc1105_chr16",9,"slc1105_chr16",0,1,0,1,0,1,9,0.778,7,0.778,7,1
"137","hsa-let-7e","SRCAP","slc1105_chr16",9,"slc1105_chr16",0,1,0,1,0,1,9,0.778,7,0.778,7,1
"138","hsa-let-7f","SRCAP","slc1105_chr16",9,"slc1105_chr16",0,1,0,1,0,1,9,0.778,7,0.778,7,1
"139","hsa-let-7g","SRCAP","slc1105_chr16",9,"slc1105_chr16",0,1,0,1,0,1,9,0.778,7,0.778,7,1
"140","hsa-let-7i","SRCAP","slc1105_chr16",9,"slc1105_chr16",0,1,0,1,0,1,9,0.778,7,0.778,7,1
"141","hsa-miR-98","SRCAP","slc1105_chr16",9,"slc1105_chr16",0,1,0,1,0,1,9,0.778,7,0.778,7,1
"142","hsa-miR-27a","C8orf38","slc1105_chr8",6,"slc1105_chr8",0.2,0.6,0.2,1,0,0.333,2,1,6,0.333,2,1
"143","hsa-miR-27b","C8orf38","slc1105_chr8",6,"slc1105_chr8",0.2,0.6,0.2,1,0,0.333,2,1,6,0.333,2,1
"144","hsa-miR-320a","RAD23B","slc1108_chr9",5,"slc1108_chr9",1,0,0,0.9,0.1,0.6,3,1,5,0.6,3,2
"145","hsa-miR-16","RAD23B","slc1109_chr9",27,"slc1109_chr9",1,0,0,0.88,0.12,1,27,0.852,23,0.852,23,3
"146","hsa-miR-424","RAD23B","slc1109_chr9",27,"slc1109_chr9",1,0,0,0.88,0.12,1,27,0.852,23,0.852,23,3
"147","hsa-miR-30a","RAD23B","slc1110_chr9",7,"slc1110_chr9",1,0,0,0.83,0.17,0.857,6,0.286,2,0.286,2,2
"148","hsa-miR-30b","RAD23B","slc1110_chr9",7,"slc1110_chr9",1,0,0,0.83,0.17,0.857,6,0.286,2,0.286,2,2
"149","hsa-miR-30c","RAD23B","slc1110_chr9",7,"slc1110_chr9",1,0,0,0.83,0.17,0.857,6,0.286,2,0.286,2,2
"150","hsa-miR-30d","RAD23B","slc1110_chr9",7,"slc1110_chr9",1,0,0,0.83,0.17,0.857,6,0.286,2,0.286,2,2
"151","hsa-miR-30e","RAD23B","slc1110_chr9",7,"slc1110_chr9",1,0,0,0.83,0.17,0.857,6,0.286,2,0.286,2,2
"152","hsa-miR-196a","SUOX","slc1111_chr12",10,"slc1111_chr12",1,0,0,1,0,0.9,9,1,10,0.9,9,1
"153","hsa-let-7a","SUOX","slc1111_chr12",10,"slc1111_chr12",1,0,0,1,0,0.9,9,1,10,0.9,9,1
"154","hsa-let-7b","SUOX","slc1111_chr12",10,"slc1111_chr12",1,0,0,1,0,0.9,9,1,10,0.9,9,1
"155","hsa-let-7c","SUOX","slc1111_chr12",10,"slc1111_chr12",1,0,0,1,0,0.9,9,1,10,0.9,9,1
"156","hsa-let-7d","SUOX","slc1111_chr12",10,"slc1111_chr12",1,0,0,1,0,0.9,9,1,10,0.9,9,1
"157","hsa-let-7e","SUOX","slc1111_chr12",10,"slc1111_chr12",1,0,0,1,0,0.9,9,1,10,0.9,9,1
"158","hsa-let-7f","SUOX","slc1111_chr12",10,"slc1111_chr12",1,0,0,1,0,0.9,9,1,10,0.9,9,1
"159","hsa-let-7g","SUOX","slc1111_chr12",10,"slc1111_chr12",1,0,0,1,0,0.9,9,1,10,0.9,9,1
"160","hsa-let-7i","SUOX","slc1111_chr12",10,"slc1111_chr12",1,0,0,1,0,0.9,9,1,10,0.9,9,1
"161","hsa-miR-98","SUOX","slc1111_chr12",10,"slc1111_chr12",1,0,0,1,0,0.9,9,1,10,0.9,9,1
"162","hsa-miR-141","MORF4L1","slc1112_chr15",5,"slc1112_chr15",1,0,0,1,0,0,0,0.4,2,0,0,1
"163","hsa-miR-200a","MORF4L1","slc1112_chr15",5,"slc1112_chr15",1,0,0,1,0,0,0,0.4,2,0,0,1
"164","hsa-miR-203","MORF4L1","slc1112_chr15",5,"slc1112_chr15",1,0,0,1,0,0,0,0.4,2,0,0,1
"165","hsa-miR-22","ERBB3","slc1117_chr12",69,"slc1117_chr12",1,0,0,1,0,0.971,67,0.957,66,0.928,64,5
"166","hsa-miR-200b","SMARCAD1","slc1117_chr4",56,"slc1117_chr4",1,0,0,1,0,0.929,52,0.929,52,0.857,48,6
"167","hsa-miR-200c","SMARCAD1","slc1117_chr4",56,"slc1117_chr4",1,0,0,1,0,0.929,52,0.929,52,0.857,48,6
"168","hsa-let-7a","SMARCAD1","slc1117_chr4",56,"slc1117_chr4",1,0,0,1,0,0.929,52,0.929,52,0.857,48,6
"169","hsa-let-7b","SMARCAD1","slc1117_chr4",56,"slc1117_chr4",1,0,0,1,0,0.929,52,0.929,52,0.857,48,6
"170","hsa-let-7c","SMARCAD1","slc1117_chr4",56,"slc1117_chr4",1,0,0,1,0,0.929,52,0.929,52,0.857,48,6
"171","hsa-let-7d","SMARCAD1","slc1117_chr4",56,"slc1117_chr4",1,0,0,1,0,0.929,52,0.929,52,0.857,48,6
"172","hsa-let-7e","SMARCAD1","slc1117_chr4",56,"slc1117_chr4",1,0,0,1,0,0.929,52,0.929,52,0.857,48,6
"173","hsa-let-7f","SMARCAD1","slc1117_chr4",56,"slc1117_chr4",1,0,0,1,0,0.929,52,0.929,52,0.857,48,6
"174","hsa-let-7g","SMARCAD1","slc1117_chr4",56,"slc1117_chr4",1,0,0,1,0,0.929,52,0.929,52,0.857,48,6
"175","hsa-let-7i","SMARCAD1","slc1117_chr4",56,"slc1117_chr4",1,0,0,1,0,0.929,52,0.929,52,0.857,48,6
"176","hsa-miR-98","SMARCAD1","slc1117_chr4",56,"slc1117_chr4",1,0,0,1,0,0.929,52,0.929,52,0.857,48,6
"177","hsa-miR-181a","C10orf18","slc111_chr10",8,"slc111_chr10",0,1,0,0.93,0.07,1,8,1,8,1,8,2
"178","hsa-miR-181b","C10orf18","slc111_chr10",8,"slc111_chr10",0,1,0,0.93,0.07,1,8,1,8,1,8,2
"179","hsa-miR-103","PLEKHF2","slc1121_chr8",79,"slc1121_chr8",1,0,0,1,0,0.633,50,0.975,77,0.633,50,5
"180","hsa-miR-107","PLEKHF2","slc1121_chr8",79,"slc1121_chr8",1,0,0,1,0,0.633,50,0.975,77,0.633,50,5
"181","hsa-miR-27a","CD2AP","slc1122_chr6",10,"slc1122_chr6",1,0,0,1,0,0.8,8,0.9,9,0.7,7,3
"182","hsa-miR-27b","CD2AP","slc1122_chr6",10,"slc1122_chr6",1,0,0,1,0,0.8,8,0.9,9,0.7,7,3
"183","hsa-miR-16","DMTF1","slc1122_chr7",20,"slc1122_chr7",1,0,0,1,0,0.95,19,1,20,0.95,19,3
"184","hsa-miR-424","DMTF1","slc1122_chr7",20,"slc1122_chr7",1,0,0,1,0,0.95,19,1,20,0.95,19,3
"185","hsa-miR-16","CD2AP","slc1124_chr6",5,"slc1124_chr6",1,0,0,1,0,0.6,3,1,5,0.6,3,4
"186","hsa-miR-424","CD2AP","slc1124_chr6",5,"slc1124_chr6",1,0,0,1,0,0.6,3,1,5,0.6,3,4
"187","hsa-miR-30a","CD2AP","slc1126_chr6",5,"slc1126_chr6",1,0,0,1,0,0.6,3,1,5,0.6,3,2
"188","hsa-miR-30b","CD2AP","slc1126_chr6",5,"slc1126_chr6",1,0,0,1,0,0.6,3,1,5,0.6,3,2
"189","hsa-miR-30c","CD2AP","slc1126_chr6",5,"slc1126_chr6",1,0,0,1,0,0.6,3,1,5,0.6,3,2
"190","hsa-miR-30d","CD2AP","slc1126_chr6",5,"slc1126_chr6",1,0,0,1,0,0.6,3,1,5,0.6,3,2
"191","hsa-miR-30e","CD2AP","slc1126_chr6",5,"slc1126_chr6",1,0,0,1,0,0.6,3,1,5,0.6,3,2
"192","hsa-miR-301a","MAPK1","slc1129_chr22",14,"slc1129_chr22",1,0,0,0.88,0.12,1,14,0.786,11,0.786,11,4
"193","hsa-miR-19a","MAPK1","slc1129_chr22",14,"slc1129_chr22",1,0,0,0.88,0.12,1,14,0.786,11,0.786,11,4
"194","hsa-miR-19b","MAPK1","slc1129_chr22",14,"slc1129_chr22",1,0,0,0.88,0.12,1,14,0.786,11,0.786,11,4
"195","hsa-miR-193a-3p","NUPL1","slc112_chr13",23,"slc112_chr13",1,0,0,0.14,0.86,1,23,0.957,22,0.957,22,1
"196","hsa-miR-193b","NUPL1","slc112_chr13",23,"slc112_chr13",1,0,0,0.14,0.86,1,23,0.957,22,0.957,22,1
"197","hsa-miR-106b","RAB12","slc112_chr18",8,"slc112_chr18",1,0,0,1,0,1,8,1,8,1,8,5
"198","hsa-miR-17","RAB12","slc112_chr18",8,"slc112_chr18",1,0,0,1,0,1,8,1,8,1,8,5
"199","hsa-miR-93","RAB12","slc112_chr18",8,"slc112_chr18",1,0,0,1,0,1,8,1,8,1,8,5
"200","hsa-miR-24","MIDN","slc112_chr19",53,"slc112_chr19",1,0,0,1,0,0.981,52,0.906,48,0.887,47,7
"201","hsa-let-7a","TM7SF2","slc1133_chr11",43,"slc1133_chr11",0,1,0,1,0,0.744,32,0.907,39,0.674,29,4
"202","hsa-let-7b","TM7SF2","slc1133_chr11",43,"slc1133_chr11",0,1,0,1,0,0.744,32,0.907,39,0.674,29,4
"203","hsa-let-7c","TM7SF2","slc1133_chr11",43,"slc1133_chr11",0,1,0,1,0,0.744,32,0.907,39,0.674,29,4
"204","hsa-let-7d","TM7SF2","slc1133_chr11",43,"slc1133_chr11",0,1,0,1,0,0.744,32,0.907,39,0.674,29,4
"205","hsa-let-7e","TM7SF2","slc1133_chr11",43,"slc1133_chr11",0,1,0,1,0,0.744,32,0.907,39,0.674,29,4
