#Raw,mRNA clone number,cluster name,3'UTR,CDS,5'UTR,EXONIC,INTRONIC,G-1 Fraction,G-1 Freq,T2C Fraction,T2C Freq,T2C and G-1 Fraction,T2C and G-1 Freq,#T2C positions
68,150,slc5980_chr3,0.09,0.91,0,0.98,0.02,0.293,44,0.007,1,0,0,1
69,150,slc2328_chr7,1,0,0,0.75,0.25,0.9,135,0.98,147,0.88,132,8
70,148,slc1227_chr3,NULL,NULL,NULL,0,1,0,0,0,0,0,0,0
71,146,slc1557_chr15,1,0,0,1,0,0.055,8,0.884,129,0.048,7,7
72,145,slc5770_chr1,1,0,0,1,0,0.683,99,0.924,134,0.621,90,4
73,145,slc3490_chr17,1,0,0,0.75,0.25,0.972,141,0.959,139,0.931,135,5
74,144,slc87_chrM,0,0.56,0.44,0.7,0.3,0.882,127,0.208,30,0.181,26,15
75,144,slc4047_chr9,1,0,0,1,0,0.965,139,0.965,139,0.931,134,7
76,144,slc2875_chr10,1,0,0,1,0,0.958,138,0.931,134,0.903,130,6
77,144,slc2136_chr10,1,0,0,1,0,0.597,86,0.938,135,0.556,80,7
78,142,slc86_chr3,NULL,NULL,NULL,0,1,0.373,53,0,0,0,0,0
79,141,slc2290_chr3,1,0,0,1,0,0.872,123,0.965,136,0.837,118,8
80,139,slc5979_chr3,0.09,0.91,0,0.96,0.04,0.338,47,0.007,1,0,0,1
81,139,slc1310_chr2,1,0,0,1,0,0.986,137,0.849,118,0.835,116,4
82,139,slc1239_chr20,1,0,0,0.67,0.33,0.914,127,0.892,124,0.827,115,13
83,137,slc4619_chr5,1,0,0,1,0,0.876,120,0.825,113,0.723,99,3
84,136,slc5616_chr3,1,0,0,1,0,0.919,125,0.89,121,0.816,111,13
85,132,slc5986_chr3,0.09,0.91,0,1,0,0.106,14,0.015,2,0.008,1,2
86,130,slc2433_chr3,NULL,NULL,NULL,0,1,0.708,92,0,0,0,0,0
87,129,slc3217_chr3,1,0,0,1,0,0.907,117,0.783,101,0.729,94,10
88,128,slc698_chr1,1,0,0,1,0,0.922,118,0.703,90,0.656,84,9
89,128,slc1257_chr20,1,0,0,0.67,0.33,0.984,126,0.953,122,0.953,122,6
90,127,slc5709_chr17,1,0,0,1,0,0.929,118,0.882,112,0.858,109,4
91,127,slc2217_chr1,1,0,0,1,0,0.906,115,0.961,122,0.866,110,5
92,126,slc2204_chr7,1,0,0,1,0,0.69,87,0.984,124,0.683,86,1
93,125,slc4724_chr19,1,0,0,1,0,1,125,0.928,116,0.928,116,1
94,124,slc5252_chr17,1,0,0,1,0,0.96,119,0.992,123,0.96,119,5
95,123,slc896_chr21,0,1,0,1,0,0.935,115,0.959,118,0.894,110,2
96,122,slc3981_chr16,1,0,0,1,0,0.959,117,0.918,112,0.893,109,8
97,122,slc3144_chr3,NULL,NULL,NULL,0,1,0.615,75,0,0,0,0,0
98,122,slc2181_chr4,0,1,0,1,0,0.984,120,0.189,23,0.18,22,3
99,121,slc412_chr13,1,0,0,0.88,0.12,0.752,91,0.926,112,0.694,84,5
100,121,slc334_chr10,NULL,NULL,NULL,1,0,0.901,109,0.95,115,0.851,103,3
101,121,slc2514_chr17,0,1,0,1,0,0.917,111,0.983,119,0.901,109,2
102,121,slc1440_chr4,1,0,0,1,0,0.752,91,0.942,114,0.711,86,6
103,120,slc5005_chr11,0,1,0,1,0,0.942,113,0.925,111,0.892,107,2
104,119,slc4909_chr5,1,0,0,0.83,0.17,0.891,106,0.782,93,0.714,85,9
105,119,slc194_chr18,1,0,0,1,0,0.866,103,0.95,113,0.824,98,5
106,117,slc5000_chr2,1,0,0,0.95,0.05,1,117,0.991,116,0.991,116,1
107,117,slc2599_chr1,1,0,0,0.62,0.38,0.923,108,0.949,111,0.872,102,5
108,116,slc4500_chr19,NULL,NULL,NULL,0,1,0,0,0,0,0,0,0
109,116,slc3601_chr9,1,0,0,1,0,0.836,97,0.983,114,0.819,95,1
110,115,slc966_chr12,0,1,0,1,0,0.835,96,0.878,101,0.757,87,5
111,115,slc3846_chr2,1,0,0,1,0,0.948,109,0.983,113,0.939,108,4
112,113,slc4292_chr8,1,0,0,1,0,0.947,107,0.867,98,0.814,92,4
113,113,slc1366_chr8,1,0,0,1,0,0.965,109,0.991,112,0.965,109,7
114,112,slc3544_chr8,0,1,0,NULL,NULL,0.071,8,1,112,0.071,8,1
115,112,slc2528_chr2,NULL,NULL,NULL,0,1,0.045,5,0,0,0,0,0
116,110,slc952_chr9,1,0,0,0.9,0.1,0.873,96,0.955,105,0.836,92,4
117,110,slc3418_chr8,1,0,0,1,0,0.945,104,0.973,107,0.927,102,12
118,110,slc2358_chr4,0,1,0,1,0,0.927,102,1,110,0.927,102,5
119,110,slc1895_chr2,1,0,0,0.8,0.2,0.991,109,0.918,101,0.909,100,4
120,110,slc104_chrM,1,0,0,0.95,0.05,0.827,91,0.2,22,0.173,19,10
121,109,slc428_chr11,0,1,0,NULL,NULL,0,0,0,0,0,0,0
122,109,slc179_chr7,1,0,0,1,0,0.872,95,0.972,106,0.844,92,9
123,106,slc221_chr11,1,0,0,1,0,0.953,101,0.934,99,0.887,94,2
124,105,slc4008_chr14,1,0,0,1,0,0.914,96,0.876,92,0.8,84,9
125,104,slc5147_chr3,1,0,0,0.8,0.2,0.846,88,0.942,98,0.788,82,2
126,103,slc55_chr19,0,1,0,1,0,0.893,92,0.961,99,0.854,88,2
127,103,slc2801_chr7,1,0,0,0.67,0.33,0.99,102,0.864,89,0.854,88,2
128,102,slc5437_chr3,1,0,0,1,0,0.529,54,1,102,0.529,54,3
129,102,slc2480_chr14,1,0,0,1,0,0.971,99,0.99,101,0.961,98,8
130,100,slc5429_chr12,1,0,0,1,0,0.57,57,0.89,89,0.52,52,5
131,100,slc1256_chr20,1,0,0,0.67,0.33,0.84,84,0.9,90,0.76,76,15
132,99,slc4818_chr12,1,0,0,1,0,0.949,94,0.929,92,0.879,87,6
133,99,slc1194_chr9,NULL,NULL,NULL,1,0,0.97,96,0.859,85,0.838,83,4
134,98,slc267_chr6,1,0,0,1,0,0.959,94,0.878,86,0.837,82,7
135,97,slc5985_chr3,0.09,0.91,0,1,0,0.144,14,0.01,1,0,0,1
136,97,slc1588_chr20,1,0,0,1,0,0.918,89,0.969,94,0.897,87,5
137,95,slc2143_chr10,1,0,0,1,0,0.916,87,0.926,88,0.853,81,10
138,95,slc152_chr15,1,0,0,1,0,0.811,77,0.947,90,0.779,74,5
139,94,slc38_chr14,NULL,NULL,NULL,0,1,1,94,0,0,0,0,0
140,94,slc2967_chr5,0,1,0,1,0,0.979,92,0.713,67,0.702,66,5
141,93,slc2689_chr20,1,0,0,1,0,0.946,88,0.968,90,0.914,85,5
142,92,slc1984_chr16,1,0,0,1,0,0.946,87,0.967,89,0.913,84,8
143,91,slc764_chr6,0.99,0.01,0,0.95,0.05,0.989,90,0.725,66,0.714,65,8
144,91,slc2909_chr17,0,1,0,0.83,0.17,1,91,0.967,88,0.967,88,3
145,91,slc1257_chr16,1,0,0,1,0,0.923,84,0.934,85,0.857,78,6
146,91,slc1250_chr20,1,0,0,0.67,0.33,0.945,86,0.813,74,0.791,72,20
147,90,slc5570_chr3,NULL,NULL,NULL,1,0,0.978,88,0.122,11,0.1,9,7
148,89,slc5990_chr3,0.1,0.9,0,1,0,0.281,25,0.022,2,0.011,1,2
149,89,slc3429_chr8,0,0,1,1,0,0.921,82,0.854,76,0.798,71,4
150,89,slc2697_chrX,1,0,0,1,0,0.966,86,0.978,87,0.944,84,4
151,89,slc2516_chr17,0,1,0,1,0,0.966,86,0.921,82,0.888,79,2
152,89,slc2101_chr15,0,1,0,1,0,0.955,85,0.933,83,0.899,80,4
153,88,slc188_chr6,1,0,0,1,0,0.864,76,0.92,81,0.784,69,3
154,88,slc1841_chr1,0,1,0,1,0,0.955,84,0.955,84,0.909,80,4
155,88,slc1716_chr8,1,0,0,1,0,0.932,82,0.909,80,0.852,75,4
156,87,slc2940_chr8,NULL,NULL,NULL,1,0,0.828,72,0.966,84,0.805,70,4
157,87,slc289_chr18,1,0,0,1,0,0.897,78,0.931,81,0.839,73,2
158,87,slc2427_chr14,0,1,0,1,0,0.966,84,0.977,85,0.943,82,5
159,86,slc2757_chr10,1,0,0,1,0,0.814,70,0.442,38,0.326,28,5
160,85,slc2599_chr14,1,0,0,NULL,NULL,0.694,59,0,0,0,0,0
161,84,slc3974_chr16,1,0,0,1,0,0.917,77,0.81,68,0.738,62,4
162,84,slc2811_chr20,0,1,0,1,0,0.857,72,0.821,69,0.714,60,7
163,83,slc643_chr12,0.09,0.91,0,0,1,0.072,6,0.024,2,0,0,1
164,82,slc4111_chr1,1,0,0,0.8,0.2,0.951,78,0.585,48,0.561,46,3
165,82,slc2191_chr8,1,0,0,1,0,0.951,78,0.963,79,0.915,75,2
166,80,slc597_chr7,NULL,NULL,NULL,0,1,0.85,68,0.95,76,0.8,64,1
167,80,slc1625_chr11,1,0,0,1,0,0.963,77,0.95,76,0.912,73,5
168,79,slc5468_chr12,NULL,NULL,NULL,0,1,1,79,0.987,78,0.987,78,1
169,79,slc1557_chr9,1,0,0,1,0,0.937,74,0.949,75,0.886,70,8
170,79,slc1121_chr8,1,0,0,1,0,0.633,50,0.975,77,0.633,50,5
171,78,slc2847_chr7,0.5,0.5,0,0.75,0.25,0.923,72,0.321,25,0.282,22,5
172,78,slc1931_chr10,1,0,0,1,0,0.808,63,0.949,74,0.756,59,4
173,78,slc1533_chr12,1,0,0,0.8,0.2,0.987,77,0.962,75,0.949,74,4
174,78,slc1457_chr12,1,0,0,0.83,0.17,0.974,76,0.923,72,0.897,70,1
175,77,slc635_chr12,0,1,0,0,1,0.195,15,0.013,1,0,0,1
176,77,slc4598_chr16,1,0,0,1,0,0.805,62,0.961,74,0.766,59,4
177,77,slc412_chr17,1,0,0,0.92,0.08,0.948,73,0.896,69,0.844,65,9
178,77,slc3602_chr3,1,0,0,1,0,0.818,63,0.883,68,0.74,57,9
179,77,slc3601_chr8,1,0,0,0.91,0.09,0.948,73,0.948,73,0.896,69,4
180,77,slc3212_chr16,0,1,0,1,0,0.935,72,0.506,39,0.455,35,2
181,77,slc2008_chrX,0,0,1,0,1,0.299,23,0,0,0,0,0
182,77,slc1862_chr7,0,1,0,1,0,0.87,67,0.948,73,0.831,64,4
183,77,slc1254_chr20,1,0,0,0.67,0.33,0.701,54,0.961,74,0.662,51,6
184,75,slc7253_chr1,1,0,0,0.83,0.17,0.947,71,0.973,73,0.92,69,3
185,75,slc3782_chr4,1,0,0,1,0,0.933,70,0.973,73,0.907,68,1
186,75,slc2993_chr16,1,0,0,1,0,0.947,71,0.96,72,0.907,68,3
187,74,slc42_chr9,1,0,0,1,0,0.77,57,0.946,70,0.743,55,8
188,73,slc521_chr16,1,0,0,1,0,0.808,59,0.932,68,0.781,57,6
189,73,slc4294_chr8,0.12,0.88,0,1,0,0.822,60,0.904,66,0.767,56,6
190,73,slc4116_chr1,1,0,0,0.75,0.25,0.918,67,0.822,60,0.767,56,9
191,73,slc396_chr16,0,0,1,0.67,0.33,0.932,68,0.904,66,0.836,61,4
192,72,slc513_chr16,NULL,NULL,NULL,0.67,0.33,0.944,68,0.917,66,0.861,62,6
193,72,slc457_chr11,NULL,NULL,NULL,1,0,1,72,0.986,71,0.986,71,1
194,72,slc3988_chr16,0,1,0,1,0,0.083,6,0.917,66,0.056,4,4
195,72,slc3591_chr3,1,0,0,0.27,0.73,0.944,68,0.931,67,0.875,63,2
196,72,slc2447_chr11,NULL,NULL,NULL,1,0,0.847,61,0.958,69,0.806,58,6
197,72,slc2036_chr3,0,1,0,1,0,0.944,68,0.972,70,0.917,66,5
198,72,slc188_chr7,1,0,0,1,0,1,72,0.958,69,0.958,69,2
199,72,slc1872_chr11,1,0,0,1,0,0.986,71,0.931,67,0.917,66,2
200,72,slc1850_chr7,1,0,0,1,0,0.958,69,0.958,69,0.917,66,6
201,72,slc1660_chr17,1,0,0,1,0,0.944,68,0.986,71,0.931,67,2
202,71,slc6458_chr1,1,0,0,1,0,0.887,63,0.873,62,0.831,59,7
203,71,slc5464_chr17,1,0,0,1,0,0.648,46,0.789,56,0.507,36,5
204,71,slc4669_chr12,1,0,0,1,0,0.817,58,0.958,68,0.775,55,3
205,71,slc4127_chr12,1,0,0,0.86,0.14,1,71,0.93,66,0.93,66,6
206,71,slc1663_chr7,NULL,NULL,NULL,1,0,0.775,55,0.944,67,0.761,54,6
207,71,slc1396_chr7,NULL,NULL,NULL,0,1,0.789,56,0.183,13,0.155,11,7
208,70,slc3995_chr5,NULL,NULL,NULL,0,1,0,0,0,0,0,0,0
209,70,slc1264_chr20,1,0,0,0.67,0.33,0.914,64,0.714,50,0.629,44,7
210,70,slc1089_chr9,NULL,NULL,NULL,0,1,0.214,15,0.986,69,0.2,14,1
211,69,slc642_chr12,0.09,0.91,0,0,1,0.58,40,1,69,0.58,40,1
212,69,slc3822_chr8,1,0,0,1,0,0.971,67,0.899,62,0.87,60,3
213,69,slc3203_chr16,1,0,0,1,0,0.754,52,0.957,66,0.725,50,7
214,69,slc1117_chr12,1,0,0,1,0,0.971,67,0.957,66,0.928,64,5
215,68,slc4440_chr7,1,0,0,1,0,0.691,47,0.824,56,0.618,42,6
216,68,slc2403_chr5,0.08,0.92,0,0.87,0.13,0.926,63,0.809,55,0.765,52,9
217,68,slc1638_chr11,1,0,0,0.83,0.17,0.882,60,0.941,64,0.824,56,6
218,67,slc95_chrM,0.16,0.67,0.17,0.94,0.06,0.94,63,0.239,16,0.239,16,10
219,67,slc1746_chr16,1,0,0,1,0,0.925,62,0.985,66,0.925,62,5
220,66,slc7108_chr1,1,0,0,1,0,0.97,64,0.909,60,0.894,59,1
221,66,slc3792_chr5,1,0,0,1,0,0.652,43,0.97,64,0.621,41,2
222,66,slc2881_chr5,1,0,0,1,0,0.818,54,0.879,58,0.742,49,3
223,66,slc1963_chr2,1,0,0,1,0,0.879,58,0.939,62,0.818,54,5
224,66,slc1887_chr7,1,0,0,1,0,0.879,58,0.758,50,0.667,44,6
225,66,slc1832_chr11,1,0,0,1,0,0.773,51,0.97,64,0.758,50,2
226,66,slc1311_chr1,1,0,0,1,0,0.939,62,0.909,60,0.864,57,4
227,66,slc1304_chr12,NULL,NULL,NULL,1,0,0,0,0.333,22,0,0,5
228,65,slc85_chrM,0.51,0.49,0,0.25,0.75,0.969,63,0.215,14,0.185,12,9
229,65,slc2426_chr16,NULL,NULL,NULL,0.04,0.96,0.985,64,0.046,3,0.031,2,2
230,65,slc1545_chr15,1,0,0,1,0,0.985,64,0.892,58,0.877,57,12
231,65,slc1368_chr8,1,0,0,1,0,0.877,57,0.938,61,0.831,54,3
232,65,slc1246_chrX,0,0,1,NULL,NULL,0.969,63,0.877,57,0.877,57,5
233,64,slc967_chr12,0,1,0,1,0,0.953,61,0.969,62,0.922,59,6
234,64,slc952_chr2,0,1,0,0.89,0.11,0.922,59,0.984,63,0.906,58,3
235,64,slc648_chr18,1,0,0,NULL,NULL,0.484,31,0,0,0,0,0
236,64,slc6201_chr1,1,0,0,1,0,0.984,63,0.938,60,0.922,59,4
237,64,slc1576_chr13,0,0,1,1,0,1,64,0.938,60,0.938,60,4
238,64,slc1392_chr22,1,0,0,0.83,0.17,0.766,49,0.953,61,0.734,47,5
239,63,slc6651_chr2,0,1,0,1,0,0.778,49,0.984,62,0.762,48,5
240,63,slc3149_chr14,1,0,0,1,0,0.952,60,0.794,50,0.746,47,2
241,63,slc1908_chr10,1,0,0,1,0,0.921,58,0.968,61,0.889,56,3
242,63,slc1295_chr18,1,0,0,1,0,0.587,37,0.952,60,0.556,35,6
243,62,slc5872_chr3,NULL,NULL,NULL,1,0,1,62,0.952,59,0.952,59,5
244,62,slc5434_chr3,1,0,0,1,0,0.952,59,0.952,59,0.903,56,3
245,62,slc496_chr16,NULL,NULL,NULL,0,1,0.968,60,0.952,59,0.919,57,2
246,62,slc430_chr1,1,0,0,1,0,0.726,45,0.79,49,0.565,35,6
247,62,slc3191_chr1,1,0,0,1,0,0.968,60,0.871,54,0.839,52,3
248,62,slc2357_chr1,1,0,0,1,0,0.952,59,0.823,51,0.806,50,7
249,62,slc1667_chr3,1,0,0,1,0,0.79,49,0.79,49,0.597,37,4
250,62,slc1187_chr9,NULL,NULL,NULL,1,0,0.935,58,0.952,59,0.903,56,2
251,61,slc504_chr13,1,0,0,1,0,0.951,58,0.951,58,0.902,55,8
252,61,slc4260_chr1,1,0,0,0.25,0.75,0.984,60,0.918,56,0.902,55,1
253,61,slc2612_chr1,1,0,0,0.61,0.39,0.918,56,0.852,52,0.803,49,14
254,61,slc1395_chr7,NULL,NULL,NULL,0,1,0.639,39,0.049,3,0.016,1,1
255,61,slc137_chrM,1,0,0,1,0,0.984,60,0.115,7,0.115,7,2
256,60,slc473_chr8,1,0,0,1,0,0.917,55,0.933,56,0.883,53,7
257,60,slc3886_chr12,1,0,0,1,0,1,60,0.85,51,0.85,51,7
258,59,slc8795_chr1,1,0,0,1,0,0.424,25,0.814,48,0.407,24,6
259,59,slc3934_chr2,1,0,0,0.88,0.12,0.915,54,0.983,58,0.915,54,3
260,59,slc2811_chr17,NULL,NULL,NULL,1,0,0.949,56,1,59,0.949,56,2
261,59,slc2248_chr8,NULL,NULL,NULL,0,1,0,0,0,0,0,0,0
262,59,slc1109_chr20,1,0,0,1,0,0.983,58,1,59,0.983,58,3
263,58,slc2888_chr10,1,0,0,0.78,0.22,0.966,56,0.914,53,0.879,51,1
264,58,slc1218_chr9,NULL,NULL,NULL,0.11,0.89,0.862,50,0.931,54,0.81,47,6
265,57,slc7432_chr1,1,0,0,1,0,0.965,55,0.842,48,0.807,46,6
266,57,slc4044_chr7,1,0,0,1,0,0.947,54,0.965,55,0.912,52,5
267,57,slc2298_chr20,1,0,0,1,0,0.702,40,0.772,44,0.596,34,7
268,57,slc2056_chr15,1,0,0,1,0,0.965,55,0.93,53,0.93,53,1
269,57,slc1345_chr20,1,0,0,1,0,0.93,53,0.93,53,0.86,49,3
270,57,slc1241_chr13,1,0,0,0.75,0.25,0.754,43,0.947,54,0.719,41,4
271,56,slc891_chr16,1,0,0,1,0,0.982,55,0.964,54,0.946,53,6
272,56,slc7042_chr1,1,0,0,1,0,0.857,48,0.964,54,0.821,46,4
273,56,slc3877_chr3,1,0,0,0.8,0.2,0.946,53,0.911,51,0.875,49,5
274,56,slc1394_chr22,1,0,0,0.67,0.33,0.821,46,0.964,54,0.786,44,3
275,56,slc1240_chr7,1,0,0,1,0,0.857,48,0.982,55,0.857,48,4
276,56,slc1117_chr4,1,0,0,1,0,0.929,52,0.929,52,0.857,48,6
277,55,slc97_chrM,0.24,0.76,0,0.94,0.06,0.836,46,0.309,17,0.236,13,6
278,55,slc4217_chr7,1,0,0,1,0,0.982,54,0.909,50,0.891,49,5
279,55,slc4075_chr7,1,0,0,1,0,0.727,40,0.709,39,0.564,31,5
280,55,slc3825_chr3,1,0,0,1,0,0.982,54,1,55,0.982,54,3
281,55,slc2520_chr19,1,0,0,1,0,0.927,51,0.909,50,0.836,46,3
282,55,slc2505_chr15,1,0,0,1,0,0.8,44,0.964,53,0.782,43,3
283,55,slc2471_chr12,1,0,0,1,0,0.855,47,0.727,40,0.655,36,2
284,55,slc2243_chr6,1,0,0,1,0,0.982,54,0.891,49,0.873,48,4
285,55,slc2138_chr10,1,0,0,1,0,0.873,48,0.745,41,0.691,38,13
286,55,slc169_chr15,1,0,0,0.9,0.1,0.891,49,0.909,50,0.8,44,3
287,55,slc1382_chr22,1,0,0,1,0,0.982,54,0.982,54,0.964,53,2
288,55,slc1312_chr13,1,0,0,0.9,0.1,0.982,54,0.982,54,0.964,53,4
289,55,slc1105_chr12,1,0,0,1,0,0.945,52,0.891,49,0.873,48,2
290,54,slc5032_chr17,1,0,0,1,0,0.815,44,0.926,50,0.759,41,7
291,54,slc4942_chr7,0.75,0.25,0,0.8,0.2,1,54,0.87,47,0.87,47,3
292,54,slc1849_chr5,NULL,NULL,NULL,1,0,0.907,49,1,54,0.907,49,2
293,54,slc1157_chr3,1,0,0,1,0,0.981,53,0.241,13,0.222,12,4
294,53,slc767_chr21,1,0,0,1,0,1,53,0.981,52,0.981,52,3
295,53,slc5464_chr12,0.33,0.67,0,1,0,0.887,47,0.868,46,0.755,40,11
296,53,slc4830_chr6,0,1,0,1,0,0.943,50,0.925,49,0.868,46,5
297,53,slc481_chr19,0,0.89,0.11,0.92,0.08,0.792,42,0.925,49,0.717,38,6
298,53,slc3850_chr9,1,0,0,1,0,0.868,46,0.849,45,0.792,42,4
299,53,slc3232_chr16,1,0,0,1,0,0.981,52,1,53,0.981,52,4
300,53,slc2788_chr4,0,0,1,NULL,NULL,0.057,3,0,0,0,0,0
301,53,slc2729_chr17,0,0.9,0.1,1,0,0.83,44,0.887,47,0.774,41,7
302,53,slc1679_chr16,0,1,0,1,0,0.925,49,0.962,51,0.887,47,4
303,53,slc1488_chr10,1,0,0,0.78,0.22,0.849,45,1,53,0.849,45,6
304,53,slc1309_chr6,1,0,0,1,0,0.925,49,0.962,51,0.906,48,2
305,53,slc112_chr19,1,0,0,1,0,0.981,52,0.906,48,0.887,47,7
306,52,slc715_chr5,1,0,0,1,0,0.654,34,0.538,28,0.327,17,8
307,52,slc711_chr20,1,0,0,1,0,0.731,38,0.481,25,0.365,19,5
308,52,slc3692_chr7,NULL,NULL,NULL,0,1,0.038,2,0,0,0,0,0
309,52,slc2997_chr4,0,1,0,0.96,0.04,1,52,0.942,49,0.942,49,1
310,52,slc25_chrM,0.47,0.53,0,0.89,0.11,0.865,45,0.346,18,0.269,14,10
311,52,slc190_chr7,1,0,0,1,0,0.981,51,0.962,50,0.942,49,2
